"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","12pF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C3,C12,C18,C19,C20,C21,C22,C23,C24","9","100n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C4,C25","2","10pF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C5,C6","2","2.2u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C7","1","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C8,C17","2","4.7u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C9,C10","2","22p","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C11,C16","2","10u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C13,C14,C15","3","270n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1,D5","2","SMAJ5.0A","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet"
"D2,D4","2","SD03_SOD323","","","","Diode_SMD:D_SOD-323","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sd_c_datasheet.pdf.pdf"
"FB1,FB2","2","120ohm 100MHz","","","","Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder","~"
"J1,J2,J3,J4","4","Conn_01x16","","","","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~"
"J5","1","Conn_01x08","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"J6","1","Conn_01x04","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"L1","1","2.2u","","","","Inductor_SMD:L_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
"L4","1","2.2u","","","","Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder","~"
"R1","1","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R2","1","100k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R3,R11","2","680K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4,R5,R6,R7,R8,R9","6","33","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R10,R12","2","150K","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"U1","1","STM32H723VETx","","","","Package_QFP:LQFP-100_14x14mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32h723ve.pdf"
"U2","1","W25Q64BVSSIG","","","","W25Q64BVSSIG:SOIC127P790X216-8N",""
"U3,U4","2","SY8088AAC","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv62569.pdf"
"Y1","1","32.768K 7pF","","","","Crystal:Crystal_C38-LF_D3.0mm_L8.0mm_Vertical","~"
"Y2","1","25MHz","","","","Crystal:Crystal_HC49-4H_Vertical","~"
